last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,whiff_percent,
Pujols, Albert,405395,2021,41,130,140,26,16,2,0,8,22,6,15.7,4.3,.200,.400,.257,.657,.250,.474,.284,.330,.303,.224,91,15.8,31.5,9.3,20.6,
Cabrera, Miguel,408234,2021,38,149,165,30,23,2,0,5,38,14,23.0,8.5,.201,.315,.273,.588,.220,.395,.257,.301,.291,.174,89.6,9.3,26.3,8.8,23.7,
Molina, Yadier,425877,2021,39,148,159,41,23,11,0,7,33,9,20.8,5.7,.277,.493,.314,.808,.286,.511,.344,.354,.324,.225,89.8,17.1,36.8,9.4,30.6,
Suzuki, Kurt,435559,2021,38,88,100,18,14,3,0,1,19,6,19.0,6.0,.205,.273,.270,.543,.192,.279,.250,.247,.265,.087,84.4,12.9,27.8,2.8,20.1,
Cruz Jr., Nelson,443558,2021,41,171,198,48,30,7,1,10,40,19,20.2,9.6,.281,.509,.354,.862,.255,.515,.365,.373,.342,.260,92.3,10.1,27.5,15.2,31.5,
Peralta, David,444482,2021,34,204,220,50,29,12,5,4,38,16,17.3,7.3,.245,.412,.300,.712,.235,.342,.307,.279,.294,.107,88.8,4.3,25.9,5.4,23.2,
Pina, Manny,444489,2021,34,53,64,9,4,1,0,4,11,10,17.2,15.6,.170,.415,.297,.712,.231,.467,.311,.352,.348,.236,86.4,13.3,25.6,11.6,23.2,
Longoria, Evan,446334,2021,36,161,186,45,25,11,0,9,42,25,22.6,13.4,.280,.516,.376,.892,.300,.600,.382,.414,.394,.300,95.9,15.7,40.3,15.1,27.3,
Cabrera, Asdrubal,452678,2021,36,115,137,33,20,9,0,4,26,19,19.0,13.9,.287,.470,.387,.856,.251,.435,.370,.347,.361,.184,88.8,18.1,30.8,9.9,22.4,
Blackmon, Charlie,453568,2021,35,179,208,48,32,11,1,4,25,23,12.0,11.1,.268,.408,.370,.778,.310,.497,.345,.392,.406,.187,89,10.8,33.1,7.8,18.2,
Maldonado, Martin,455117,2021,35,144,159,23,15,3,1,4,50,13,31.4,8.2,.160,.278,.239,.517,.192,.299,.234,.255,.268,.108,88.2,18,33,4.3,30.1,
Cain, Lorenzo,456715,2021,35,103,118,23,16,4,0,3,24,14,20.3,11.9,.223,.350,.322,.672,.244,.405,.303,.329,.340,.161,88.5,8.2,35.4,6.3,26.3,
Solano, Donovan,456781,2021,34,96,107,26,19,5,0,2,21,6,19.6,5.6,.271,.385,.308,.694,.252,.395,.299,.295,.294,.143,87,11.7,40.5,6.3,17.8,
McCutchen, Andrew,457705,2021,35,183,221,40,23,6,1,10,58,33,26.2,14.9,.219,.426,.335,.761,.245,.439,.333,.349,.359,.193,89.1,9.9,34.1,7.8,29.6,
Upton, Justin,457708,2021,34,169,192,37,20,5,0,12,60,20,31.3,10.4,.219,.462,.302,.764,.231,.469,.329,.337,.314,.238,92.5,17.7,31.5,14.4,33.7,
Turner, Justin,457759,2021,37,200,233,53,35,9,0,9,48,30,20.6,12.9,.265,.445,.361,.806,.253,.463,.353,.354,.353,.210,91.8,19.8,39.6,9.7,20.2,
Posey III, Buster,457763,2021,34,140,159,45,30,5,0,10,27,18,17.0,11.3,.321,.571,.403,.974,.297,.540,.413,.388,.381,.243,89.4,7.8,40.7,9.7,22.6,
Votto, Joey,458015,2021,38,106,118,24,13,6,0,5,25,11,21.2,9.3,.226,.425,.305,.730,.273,.541,.319,.377,.347,.268,92.6,13.5,37,12.3,32.2,
Gardner, Brett,458731,2021,38,122,141,22,17,4,1,0,38,15,27.0,10.6,.180,.230,.270,.499,.197,.284,.252,.262,.287,.087,86.6,14.4,26.7,4.4,23.9,
Joyce, Matt,459964,2021,37,45,57,5,2,1,0,2,11,10,19.3,17.5,.111,.267,.281,.547,.187,.355,.243,.300,.341,.169,86.7,17,25.7,11.4,30.6,
Andrus, Elvis,462101,2021,33,183,197,38,29,8,1,0,34,12,17.3,6.1,.208,.262,.254,.516,.244,.331,.229,.274,.290,.086,87.2,7.6,31.8,2,21,
Sandoval, Pablo,467055,2021,35,50,58,12,8,0,0,4,18,7,31.0,12.1,.240,.480,.345,.825,.207,.432,.359,.326,.316,.226,95.8,15.8,40.6,12.5,33.3,
Ramos, Wilson,467092,2021,34,120,128,24,13,5,0,6,29,6,22.7,4.7,.200,.392,.234,.626,.233,.409,.272,.291,.270,.176,90,7.7,30.8,9.9,28,
Santana, Carlos,467793,2021,35,186,234,46,32,4,0,10,35,42,15.0,17.9,.247,.430,.385,.815,.245,.493,.359,.378,.385,.248,90,14.6,27.8,10.1,24.1,
Belt, Brandon,474832,2021,33,114,137,26,14,4,0,8,46,21,33.6,15.3,.228,.474,.350,.824,.207,.450,.358,.348,.339,.243,90.1,22.4,36.2,18.8,31.4,
Zimmerman, Ryan,475582,2021,37,92,96,29,16,7,0,6,26,4,27.1,4.2,.315,.587,.344,.931,.244,.440,.380,.304,.274,.196,91,9.7,31.9,10.1,29.2,
Lowrie, Jed,476704,2021,37,199,223,50,31,15,0,4,45,24,20.2,10.8,.251,.387,.332,.719,.271,.482,.317,.356,.349,.212,90.8,16.7,37,9.7,21.9,
Avila, Alex,488671,2021,34,44,56,7,1,5,1,0,17,11,30.4,19.6,.159,.318,.339,.657,.162,.261,.299,.282,.330,.099,89.1,10.4,39.3,7.1,37,
Brantley Jr., Michael,488726,2021,34,167,179,51,33,14,1,3,22,10,12.3,5.6,.305,.455,.346,.801,.343,.526,.347,.395,.386,.182,90.8,9.4,47.9,7.5,10.9,
Castro, Jason,488771,2021,34,48,59,13,7,4,0,2,17,9,28.8,15.3,.271,.479,.390,.869,.254,.511,.384,.382,.382,.257,91.5,14.1,46.9,15.6,38.5,
Gurriel, Yuli,493329,2021,37,190,220,58,35,16,0,7,21,24,9.5,10.9,.305,.500,.377,.877,.278,.432,.385,.341,.355,.153,90.3,14.8,34.3,4.5,14.7,
Rojas, Miguel,500743,2021,32,171,192,47,28,14,2,3,28,17,14.6,8.9,.275,.433,.354,.787,.246,.368,.345,.310,.329,.122,87.6,12.7,33.6,2.8,21.9,
Escobar, Eduardo,500871,2021,32,231,246,55,32,8,1,14,56,14,22.8,5.7,.238,.463,.280,.744,.238,.455,.325,.316,.286,.217,88.6,20.2,34.6,9.5,25.9,
Adrianza, Ehire,501303,2021,32,85,96,19,12,3,1,3,18,7,18.8,7.3,.224,.388,.271,.659,.248,.362,.279,.299,.307,.114,84.5,13.9,35.6,1.4,19.3,
Lagares, Juan,501571,2021,32,81,84,18,11,6,1,0,20,3,23.8,3.6,.222,.321,.250,.571,.256,.366,.249,.282,.283,.110,91.5,7.4,34.4,8.2,23.8,
Davis, Khris,501981,2021,34,51,61,8,4,1,1,2,16,8,26.2,13.1,.157,.333,.262,.596,.203,.382,.263,.323,.318,.179,90.2,12.2,29.7,10.8,36.8,
Pham, Tommy,502054,2021,33,163,199,36,28,2,2,4,42,32,21.1,16.1,.221,.331,.352,.683,.250,.442,.313,.362,.379,.192,89.7,8.7,35,11.4,26.9,
Martinez, J.D.,502110,2021,34,204,229,65,39,14,0,12,47,23,20.5,10.0,.319,.564,.389,.952,.305,.560,.407,.395,.376,.255,92,15.1,41,11.2,29.5,
Reddick, Josh,502210,2021,34,52,54,19,11,8,0,0,9,2,16.7,3.7,.365,.519,.389,.908,.296,.387,.359,.307,.320,.091,86.7,15.8,37,2.2,18.8,
Goldschmidt, Paul,502671,2021,34,219,242,53,33,12,1,7,56,21,23.1,8.7,.242,.402,.310,.712,.264,.499,.312,.353,.330,.235,92.7,19.4,33.5,11,26.4,
Gonzalez, Marwin,503556,2021,32,154,175,31,18,12,0,1,41,13,23.4,7.4,.201,.299,.291,.590,.245,.378,.269,.316,.331,.133,89.2,10.9,35.1,5.3,21.9,
Leon, Sandy,506702,2021,32,86,95,16,13,2,0,1,25,5,26.3,5.3,.186,.244,.242,.486,.186,.304,.221,.240,.242,.118,88.3,24.1,27,3.2,26.1,
Altuve, Jose,514888,2021,31,189,216,59,45,6,0,8,29,22,13.4,10.2,.312,.471,.380,.851,.288,.472,.359,.359,.363,.184,88.4,13.3,34.7,7.2,20.2,
Hernandez, Cesar,514917,2021,31,217,242,48,30,8,1,9,49,24,20.2,9.9,.221,.392,.302,.693,.264,.459,.305,.346,.340,.195,89.7,12.9,35.1,9.5,21.9,
Segura, Jean,516416,2021,31,156,169,50,37,9,1,3,23,10,13.6,5.9,.321,.449,.367,.816,.266,.382,.354,.311,.319,.117,88,1.8,28.4,5.2,19.2,
Castro, Starlin,516770,2021,31,202,221,51,41,8,0,2,43,16,19.5,7.2,.252,.322,.303,.625,.245,.371,.276,.298,.302,.126,87.4,6.5,28,5.5,22.7,
Marte, Starling,516782,2021,33,76,92,23,14,5,1,3,20,12,21.7,13.0,.303,.513,.413,.926,.281,.477,.394,.380,.394,.196,89.1,7.3,39,10.2,25.8,
Culberson, Charlie,518586,2021,32,119,129,27,17,6,1,3,34,7,26.4,5.4,.227,.370,.264,.633,.211,.309,.276,.246,.254,.099,85.4,11.6,33,3.4,34,
d'Arnaud, Travis,518595,2021,32,82,87,18,12,4,0,2,20,4,23.0,4.6,.220,.341,.253,.594,.259,.445,.259,.313,.291,.186,90.6,8.5,33.3,9.5,25.7,
Donaldson, Josh,518626,2021,36,154,185,37,22,10,0,5,29,26,15.7,14.1,.240,.403,.346,.749,.282,.540,.349,.388,.379,.258,92.7,12.6,27.8,15.8,24.7,
Freeman, Freddie,518692,2021,32,198,238,47,28,6,0,13,41,38,17.2,16.0,.237,.465,.366,.830,.293,.573,.348,.409,.410,.280,92,13.7,37.5,12.5,23,
Grandal, Yasmani,518735,2021,33,104,152,16,6,2,0,8,41,45,27.0,29.6,.154,.404,.401,.805,.200,.467,.373,.400,.434,.267,93.6,14.5,29,15.9,30,
Heyward, Jason,518792,2021,32,130,142,23,12,6,1,4,35,11,24.6,7.7,.177,.331,.246,.577,.219,.371,.255,.291,.285,.152,89.1,8.2,28.4,7.4,27.5,
LeMahieu, DJ,518934,2021,33,212,241,55,46,6,0,3,42,26,17.4,10.8,.259,.330,.340,.670,.274,.384,.300,.331,.355,.110,89.7,4.7,31.4,2.9,19,
Moreland, Mitch,519048,2021,36,113,126,27,18,4,0,5,28,10,22.2,7.9,.239,.407,.302,.709,.224,.352,.308,.282,.289,.127,89.1,11,26.4,4.6,28.4,
Moustakas, Mike,519058,2021,33,87,104,21,12,5,0,4,18,12,17.3,11.5,.241,.437,.337,.773,.207,.323,.335,.296,.316,.116,86.5,16.5,30.6,4.2,26,
Rizzo, Anthony,519203,2021,32,179,211,46,28,11,2,5,25,26,11.8,12.3,.257,.425,.355,.780,.274,.439,.339,.354,.373,.165,90.7,14.2,32.5,7.6,18.8,
Sogard, Eric,519299,2021,35,106,116,26,21,3,1,1,21,8,18.1,6.9,.245,.321,.293,.614,.187,.269,.268,.231,.244,.081,84.8,9.4,26.4,1.1,11.2,
Stanton, Giancarlo,519317,2021,32,154,171,39,24,6,0,9,51,17,29.8,9.9,.253,.468,.327,.795,.260,.489,.343,.351,.333,.230,98.6,8.6,25.2,17.5,37.2,
Vogt, Stephen,519390,2021,37,85,97,16,7,4,1,4,24,12,24.7,12.4,.188,.400,.289,.689,.194,.358,.299,.288,.292,.165,88,21.6,32.8,4.9,31.6,
Galvis, Freddy,520471,2021,32,179,200,44,24,10,1,9,44,17,22.0,8.5,.246,.464,.315,.779,.211,.372,.335,.287,.286,.161,88.4,14.7,38,6.6,23.1,
Perez, Salvador,521692,2021,31,215,225,59,36,11,0,12,58,5,25.8,2.2,.274,.493,.302,.795,.285,.579,.352,.377,.314,.294,92.8,14.4,36.6,14.3,33.9,
Flores, Wilmer,527038,2021,30,121,137,30,21,5,1,3,20,14,14.6,10.2,.248,.380,.328,.709,.217,.341,.314,.285,.301,.125,87.4,17,30.4,3.9,15.8,
Garcia, Avisail,541645,2021,30,175,194,43,27,6,0,10,50,15,25.8,7.7,.246,.451,.314,.766,.272,.524,.339,.368,.342,.252,91.2,7.7,33.3,12.4,34.1,
Ozuna, Marcell,542303,2021,31,188,208,40,27,6,0,7,46,19,22.1,9.1,.213,.356,.288,.645,.268,.471,.287,.350,.339,.203,89.7,14.5,35.2,9.9,27.2,
Villar, Jonathan,542340,2021,30,137,155,34,23,5,1,5,36,17,23.2,11.0,.248,.409,.335,.744,.248,.442,.324,.334,.336,.194,88.1,9.9,30.7,8.9,28.1,
